Dataset.1,Cell_type.1,RE.1,forcato_id.1,cluster_id.1,Dataset.2,Cell_type.2,RE.2,forcato_id.2,cluster_id.2
Dixon_2012,H1-hESC,HindIII,A,Dixon2012_hESC_HindIII_A,Jin,H1-hESC,HindIII,A,Jin_hESC_HindIII_A
Dixon_2012,H1-hESC,HindIII,B,Dixon2012_hESC_HindIII_B,Jin,H1-hESC,HindIII,A,Jin_hESC_HindIII_A
Jin,H1-hESC,HindIII,A,Jin_hESC_HindIII_A,Dixon_2015,H1-hESC,HindIII,A,Dixon2015_hESC_HindIII_A
Jin,H1-hESC,HindIII,A,Jin_hESC_HindIII_A,Dixon_2015,H1-hESC,HindIII,B,Dixon2015_hESC_HindIII_B
Dixon_2012,IMR90,HindIII,A,Dixon2012_IMR90_HindIII_A,Jin,IMR90,HindIII,A,Jin_IMR90_HindIII_A
Dixon_2012,IMR90,HindIII,A,Dixon2012_IMR90_HindIII_A,Jin,IMR90,HindIII,B,Jin_IMR90_HindIII_B
Dixon_2012,IMR90,HindIII,A,Dixon2012_IMR90_HindIII_A,Jin,IMR90,HindIII,C,Jin_IMR90_HindIII_C
Dixon_2012,IMR90,HindIII,A,Dixon2012_IMR90_HindIII_A,Jin,IMR90,HindIII,D,Jin_IMR90_HindIII_D
Dixon_2012,IMR90,HindIII,A,Dixon2012_IMR90_HindIII_A,Jin,IMR90,HindIII,E,Jin_IMR90_HindIII_E
Dixon_2012,IMR90,HindIII,A,Dixon2012_IMR90_HindIII_A,Jin,IMR90,HindIII,F,Jin_IMR90_HindIII_F
Dixon_2012,IMR90,HindIII,B,Dixon2012_IMR90_HindIII_B,Jin,IMR90,HindIII,A,Jin_IMR90_HindIII_A
Dixon_2012,IMR90,HindIII,B,Dixon2012_IMR90_HindIII_B,Jin,IMR90,HindIII,B,Jin_IMR90_HindIII_B
Dixon_2012,IMR90,HindIII,B,Dixon2012_IMR90_HindIII_B,Jin,IMR90,HindIII,C,Jin_IMR90_HindIII_C
Dixon_2012,IMR90,HindIII,B,Dixon2012_IMR90_HindIII_B,Jin,IMR90,HindIII,D,Jin_IMR90_HindIII_D
Dixon_2012,IMR90,HindIII,B,Dixon2012_IMR90_HindIII_B,Jin,IMR90,HindIII,E,Jin_IMR90_HindIII_E
Dixon_2012,IMR90,HindIII,B,Dixon2012_IMR90_HindIII_B,Jin,IMR90,HindIII,F,Jin_IMR90_HindIII_F
